,"GyrRef","GyrX","GyrY","AccX","AccY","AccZ","AngleX","AngleY","Lfoot/FSR/FrontLeft","Lfoot/FSR/FrontRight","Lfoot/FSR/RearLeft","Lfoot/FSR/RearRight","Rfoot/FSR/FrontLeft","Rfoot/FSR/FrontRight","Rfoot/FSR/RearLeft","Rfoot/FSR/RearRight",
0.03,-1664,-2114,-1996,-55,-1,-2,0.01,-1.5,2614,1965,3026,3273,3032,2848,2413,3279,0.29
1.03,-1664,-2115,-1997,-55,0,-3,0.01,-1.5,2607,1976,3020,3272,3050,2847,2409,3282,0.29
2.03,-1664,-2114,-1997,-55,0,-2,0.01,-1.51,2623,1979,3025,3271,3048,2839,2405,3281,0.29
3.02,-1664,-2114,-1996,-55,-1,-3,0.01,-1.5,2630,1978,3033,3271,3045,2850,2404,3281,0.29
4.03,-1664,-2114,-1997,-55,-1,-1,0.01,-1.5,2634,1985,3026,3272,3051,2868,2401,3280,0.29
5.02,-1664,-2114,-1997,-55,-1,-4,0.01,-1.52,2641,1994,3024,3275,3042,2874,2394,3280,0.29
6.02,-1664,-2114,-1998,-55,-1,-4,0.01,-1.52,2644,1988,3020,3272,3041,2882,2392,3281,0.29
7.05,-1664,-2115,-1997,-55,0,-4,0,-1.5,2636,1975,3024,3272,3036,2884,2390,3280,0.29
8.04,-1664,-2114,-1997,-55,0,-4,0.01,-1.51,2634,1979,3014,3273,3040,2882,2382,3281,0.29
9.02,-1664,-2114,-1998,-55,-1,-3,0.02,-1.52,2611,1984,2998,3273,3049,2882,2387,3283,0.29
10.02,-1664,-2113,-1997,-55,-1,-4,0,-1.51,2616,1982,2999,3271,3030,2866,2381,3282,0.29
11.03,-1664,-2114,-1997,-55,-1,-3,0.01,-1.51,2613,1984,3000,3273,3041,2845,2390,3282,0.29
12.02,-1663,-2114,-1997,-54,-1,-4,0.01,-1.51,2608,1983,3007,3272,3028,2848,2378,3279,0.29
13.03,-1664,-2114,-1997,-55,0,-2,0.01,-1.52,2614,1976,3010,3272,3033,2850,2377,3283,0.29
14.04,-1664,-2114,-1998,-55,-1,-1,0.01,-1.52,2615,1970,3005,3274,3029,2843,2379,3282,0.29
15.04,-1664,-2115,-1997,-55,0,-3,0.01,-1.51,2607,1968,3003,3272,3031,2844,2370,3281,0.29
16.04,-1664,-2114,-1999,-55,-1,-2,0.01,-1.52,2598,1961,2999,3274,3038,2848,2368,3284,0.29
17.04,-1664,-2115,-1997,-55,-1,-2,0,-1.51,2623,1963,3003,3272,3038,2852,2362,3279,0.29
18.02,-1664,-2113,-1997,-55,-1,-3,0.01,-1.5,2603,1948,2995,3273,3036,2844,2365,3282,0.29
19.04,-1664,-2115,-1998,-54,-1,-2,0.01,-1.5,2623,1938,3000,3275,3032,2849,2361,3281,0.29
20.04,-1664,-2114,-1998,-55,0,-3,0.01,-1.5,2630,1947,2997,3273,3040,2848,2369,3280,0.29
21.04,-1664,-2114,-1997,-55,-1,-2,0,-1.5,2637,1953,2995,3273,3037,2842,2365,3281,0.29
22.04,-1664,-2114,-1997,-55,-1,-1,0.01,-1.52,2653,1950,2993,3275,3034,2852,2361,3280,0.29
23.03,-1664,-2113,-1997,-55,-1,-4,0.01,-1.52,2665,1965,2994,3274,3039,2841,2361,3280,0.29
24.03,-1664,-2114,-1998,-55,-1,-2,0.01,-1.52,2669,1962,2989,3273,3043,2847,2363,3279,0.29
25.04,-1664,-2114,-1997,-55,0,-4,0.01,-1.5,2662,1971,2987,3270,3041,2846,2357,3282,0.29
