,"GyrRef","GyrX","GyrY","AccX","AccY","AccZ","AngleX","AngleY","Lfoot/FSR/FrontLeft","Lfoot/FSR/FrontRight","Lfoot/FSR/RearLeft","Lfoot/FSR/RearRight","Rfoot/FSR/FrontLeft","Rfoot/FSR/FrontRight","Rfoot/FSR/RearLeft","Rfoot/FSR/RearRight",,
0.03,-1664,-2114,-2001,49,0,1,0,1.5,2639,1828,3298,3272,3085,2508,2314,3286,,0.3
1.02,-1664,-2115,-2000,49,0,0,0,1.52,2640,1816,3298,3273,3080,2508,2315,3286,,0.3
2.02,-1664,-2114,-2001,49,-1,1,0,1.54,2631,1817,3297,3273,3092,2500,2310,3288,,0.3
3.04,-1664,-2114,-2001,49,0,1,0.01,1.54,2632,1809,3296,3267,3094,2502,2306,3285,,0.3
4.02,-1664,-2114,-2000,49,0,3,0,1.52,2623,1819,3299,3272,3093,2497,2304,3290,,0.3
5.04,-1664,-2114,-2000,49,0,3,0,1.52,2631,1823,3297,3271,3081,2495,2304,3285,,0.3
6.04,-1664,-2114,-2001,49,-1,2,0,1.52,2631,1821,3296,3270,3084,2498,2301,3288,,0.3
7.04,-1664,-2115,-2001,49,0,2,0,1.53,2628,1816,3295,3270,3076,2494,2299,3290,,0.3
8.04,-1664,-2114,-2000,49,0,3,0.01,1.53,2631,1823,3295,3270,3057,2475,2298,3288,,0.3
9.04,-1664,-2114,-2000,49,0,1,0.01,1.53,2634,1816,3296,3270,3043,2474,2296,3287,,0.3
10.02,-1664,-2114,-2000,49,0,3,0,1.53,2636,1827,3297,3272,3038,2469,2295,3284,,0.3
11.04,-1664,-2115,-2000,49,-1,3,0.01,1.53,2618,1829,3297,3270,3036,2469,2295,3288,,0.3
12.04,-1664,-2114,-2000,49,-1,3,0.01,1.52,2610,1830,3294,3269,3035,2454,2302,3289,,0.3
13.04,-1664,-2114,-2000,49,0,1,0,1.52,2597,1829,3295,3268,3033,2457,2302,3288,,0.3
14.04,-1664,-2114,-2002,49,0,4,0.01,1.53,2602,1822,3297,3268,3036,2449,2302,3286,,0.3
15.05,-1664,-2115,-2001,49,0,3,0.01,1.53,2595,1827,3298,3271,3033,2452,2299,3288,,0.3
16.04,-1664,-2113,-2001,49,-1,1,0.01,1.52,2589,1831,3297,3270,3028,2455,2300,3288,,0.3
17.01,-1664,-2114,-2001,49,0,2,0.01,1.52,2591,1839,3297,3270,3028,2452,2298,3286,,0.3
18.04,-1664,-2114,-2000,49,0,0,0,1.54,2595,1833,3297,3269,3022,2445,2300,3288,,0.3
19.02,-1664,-2114,-2001,49,-1,4,0.01,1.53,2597,1831,3299,3273,3017,2443,2297,3287,,0.3
20.04,-1664,-2114,-2001,49,-1,3,0.01,1.53,2604,1827,3296,3270,3015,2440,2298,3286,,0.3
21.04,-1664,-2114,-2000,49,0,1,0,1.54,2604,1823,3295,3270,3016,2446,2298,3286,,0.3
22.02,-1664,-2114,-2001,49,0,2,0,1.54,2600,1827,3295,3270,3017,2443,2296,3289,,0.3
23.04,-1664,-2114,-2001,49,0,2,0,1.53,2600,1825,3296,3265,3025,2441,2294,3286,,0.3
24.04,-1664,-2114,-2001,49,0,0,0.01,1.52,2597,1820,3297,3274,3022,2435,2296,3286,,0.3
25.04,-1664,-2115,-2001,49,0,3,0.01,1.53,2614,1811,3297,3270,3012,2429,2300,3287,,0.3
26.04,-1664,-2114,-2001,49,-1,4,0.01,1.52,2615,1809,3298,3270,3009,2432,2298,3288,,0.3
27.03,-1664,-2114,-2001,49,-1,3,0.01,1.52,2619,1811,3298,3270,3010,2430,2299,3286,,0.3
28.04,-1664,-2114,-2001,49,0,2,0,1.53,2618,1811,3299,3273,3012,2427,2300,3288,,0.3
29.04,-1664,-2114,-2001,49,0,1,0.01,1.52,2625,1814,3298,3269,3017,2431,2300,3288,,0.3
30.04,-1664,-2114,-2001,49,-1,5,0.01,1.52,2631,1813,3297,3267,3029,2428,2294,3287,,0.3
31.04,-1664,-2114,-2001,49,0,3,0.01,1.52,2624,1809,3297,3267,3034,2429,2293,3286,,0.3
32.04,-1664,-2113,-2000,49,0,2,0,1.54,2625,1811,3297,3268,3036,2426,2297,3286,,0.3
33.05,-1664,-2115,-2002,49,0,2,0.01,1.52,2619,1814,3299,3265,3037,2426,2296,3286,,0.3
34.03,-1664,-2114,-2001,49,-1,2,0.01,1.52,2626,1817,3296,3266,3029,2425,2294,3287,,0.3
35.03,-1664,-2114,-2001,49,0,5,0,1.54,2632,1816,3297,3266,3028,2424,2293,3288,,0.3
36.03,-1664,-2114,-2001,48,0,3,0.01,1.54,2626,1815,3300,3265,3021,2427,2294,3287,,0.3
37.04,-1664,-2115,-2001,49,-1,4,0.01,1.53,2627,1811,3298,3264,3022,2431,2294,3288,,0.3
38.04,-1664,-2115,-2001,49,-1,4,0.01,1.53,2620,1812,3295,3262,3028,2429,2295,3286,,0.3
39.03,-1664,-2115,-2003,48,-1,2,0,1.53,2622,1810,3297,3264,3025,2427,2293,3288,,0.3
40.03,-1664,-2114,-2003,49,0,0,0.01,1.53,2618,1809,3296,3263,3027,2420,2295,3287,,0.3
41.04,-1664,-2114,-2002,49,-1,2,0.01,1.53,2617,1807,3297,3265,3022,2415,2294,3286,,0.3
42.04,-1664,-2113,-2002,49,-1,3,0,1.54,2618,1806,3296,3260,3018,2417,2296,3287,,0.3
43.03,-1664,-2114,-2002,49,0,2,0.01,1.52,2618,1813,3297,3258,3016,2417,2297,3288,,0.3
44.04,-1664,-2114,-2001,48,0,1,0.01,1.54,2610,1806,3299,3264,3024,2417,2295,3290,,0.3
45.03,-1664,-2114,-2001,49,0,1,0.01,1.54,2604,1806,3297,3265,3025,2419,2296,3287,,0.3
46.02,-1664,-2114,-2001,49,0,2,0,1.53,2599,1810,3298,3261,3019,2421,2293,3288,,0.3
47.04,-1664,-2115,-2001,49,0,2,0,1.54,2609,1813,3299,3264,3022,2414,2299,3287,,0.3
48.04,-1664,-2114,-2002,49,-1,2,0,1.52,2609,1809,3299,3264,3023,2421,2296,3286,,0.3
49.03,-1664,-2114,-2001,49,-1,3,0.01,1.53,2604,1810,3298,3261,3023,2429,2290,3289,,0.3
50.02,-1664,-2114,-2002,49,0,1,0.01,1.53,2600,1812,3296,3264,3023,2421,2292,3287,,0.3
51.04,-1664,-2114,-2002,49,0,2,0.01,1.53,2590,1813,3297,3263,3018,2421,2292,3287,,0.3
52.04,-1664,-2114,-2002,49,-1,3,0.01,1.54,2610,1812,3296,3264,3021,2425,2293,3290,,0.3
53.05,-1664,-2114,-2002,49,0,1,0,1.53,2604,1813,3297,3264,3009,2428,2292,3288,,0.3
54.11,-1664,-2114,-2002,49,0,3,0.01,1.53,2592,1812,3297,3265,3014,2422,2294,3289,,0.3
55.03,-1664,-2115,-2001,49,-1,3,0.01,1.54,2590,1812,3297,3264,3024,2419,2291,3287,,0.3
56.04,-1664,-2115,-2001,49,0,0,0,1.53,2602,1814,3298,3264,3029,2421,2291,3288,,0.3
57.02,-1664,-2115,-2002,49,-1,3,0.01,1.54,2597,1817,3297,3264,3021,2424,2287,3288,,0.3
58.04,-1664,-2115,-2002,49,-1,3,0,1.55,2597,1814,3297,3264,3022,2427,2289,3287,,0.3
59.04,-1663,-2114,-2003,49,-1,2,0.01,1.52,2592,1813,3297,3266,3018,2424,2290,3287,,0.3
60.04,-1664,-2114,-2002,49,0,1,0.01,1.53,2586,1808,3298,3266,3020,2425,2291,3288,,0.3
61.04,-1664,-2113,-2003,49,-1,3,0,1.51,2592,1808,3299,3268,3016,2421,2292,3287,,0.3
62.04,-1664,-2115,-2002,49,0,1,0.01,1.53,2595,1803,3297,3268,3017,2424,2291,3289,,0.3
63.04,-1664,-2115,-2003,49,-1,0,0.01,1.53,2593,1810,3297,3264,3013,2431,2289,3286,,0.3
64.03,-1664,-2114,-2001,49,0,0,0,1.54,2590,1810,3297,3264,3013,2424,2291,3286,,0.3
65.04,-1664,-2114,-2002,49,-1,2,0.01,1.54,2592,1812,3298,3264,3010,2421,2291,3290,,0.3
66.04,-1664,-2114,-2002,49,0,2,0.01,1.53,2598,1811,3300,3264,3015,2423,2293,3286,,0.3
67.04,-1664,-2114,-2003,49,-1,1,0.01,1.52,2596,1814,3299,3264,3011,2418,2293,3288,,0.3
68.04,-1664,-2115,-2002,49,0,3,0,1.53,2598,1809,3297,3266,3010,2415,2292,3287,,0.3
69.04,-1664,-2114,-2003,49,-1,3,0.01,1.5,2602,1809,3297,3266,3012,2422,2291,3288,,0.3
70.04,-1664,-2115,-2003,49,-1,1,0.01,1.53,2591,1810,3297,3263,3009,2414,2291,3287,,0.3
71.02,-1664,-2114,-2002,49,0,1,0.01,1.52,2590,1811,3297,3264,3011,2413,2289,3288,,0.3
72.02,-1664,-2114,-2003,49,-1,3,0.01,1.53,2591,1814,3297,3262,3019,2417,2290,3286,,0.3
73.02,-1664,-2114,-2003,49,0,1,0.01,1.53,2592,1817,3298,3262,3019,2412,2289,3287,,0.3
74.02,-1663,-2114,-2003,49,-2,2,0.01,1.53,2592,1815,3297,3263,3023,2407,2290,3288,,0.3
75.02,-1664,-2115,-2003,49,0,1,0,1.53,2606,1817,3297,3261,3023,2407,2292,3288,,0.3
