,"GyrRef","GyrX","GyrY","AccX","AccY","AccZ","AngleX","AngleY","Lfoot/FSR/FrontLeft","Lfoot/FSR/FrontRight","Lfoot/FSR/RearLeft","Lfoot/FSR/RearRight","Rfoot/FSR/FrontLeft","Rfoot/FSR/FrontRight","Rfoot/FSR/RearLeft","Rfoot/FSR/RearRight",,,
0.09,-1664,-2115,-1996,-2,-2,-57,0.03,-0.04,851,980,3187,3175,1510,835,2152,3176,835,15866,0.55
1.02,-1664,-2114,-1996,-2,-1,-56,0.02,-0.03,850,978,3187,3176,1511,835,2149,3175,835,15861,0.55
2.02,-1664,-2114,-1996,-2,-2,-57,0.02,-0.03,850,980,3188,3175,1514,834,2140,3174,834,15855,0.55
3.02,-1664,-2115,-1997,-2,-1,-57,0.03,-0.03,850,980,3188,3176,1509,834,2140,3177,834,15854,0.55
4.03,-1664,-2114,-1997,-2,-2,-57,0.03,-0.03,849,977,3186,3175,1512,830,2131,3175,830,15835,0.55
5.02,-1664,-2114,-1997,-2,-2,-57,0.03,-0.03,849,974,3186,3174,1508,832,2133,3174,832,15830,0.55
6.02,-1664,-2116,-1997,-2,-2,-57,0.02,-0.04,851,976,3186,3175,1503,834,2111,3175,834,15811,0.55
7.02,-1664,-2114,-1996,-2,-2,-59,0.02,-0.03,851,975,3188,3176,1506,832,2125,3176,832,15829,0.55
8.02,-1664,-2114,-1996,-2,-2,-58,0.03,-0.03,850,976,3187,3176,1502,832,2125,3176,832,15824,0.55
9.02,-1664,-2114,-1996,-2,-1,-57,0.02,-0.04,849,977,3187,3177,1503,831,2121,3176,831,15821,0.55
10.02,-1664,-2114,-1996,-2,-1,-57,0.03,-0.03,849,974,3187,3178,1502,831,2120,3176,831,15817,0.55
11.03,-1664,-2115,-1997,-2,-2,-57,0.02,-0.03,850,975,3188,3177,1500,831,2110,3175,831,15806,0.55
12.02,-1664,-2114,-1997,-2,-1,-59,0.02,-0.03,857,985,3208,3198,1502,831,2117,3176,831,15874,0.55
13.03,-1664,-2114,-1996,-2,-1,-57,0.02,-0.03,858,984,3209,3198,1502,830,2113,3176,830,15870,0.55
14.03,-1664,-2114,-2011,-2,-1,-58,0.01,-0.01,791,572,2413,3190,1058,807,1122,3174,572,13127,0.71
15.02,-1664,-2117,-2005,1,0,-59,0.02,0.01,1006,587,1137,3104,995,673,2567,1774,587,11843,0.73
16.02,-1664,-2117,-1977,4,-2,-58,0.02,0.05,1090,841,874,1845,1240,569,3159,1388,569,11006,0.74
17.02,-1664,-2114,-1987,7,-1,-56,0.02,0.1,904,866,690,2038,1339,570,3161,1455,570,11023,0.77
18.02,-1664,-2114,-2024,-7,-2,-57,0.02,-0.15,3057,920,3204,544,1259,1263,674,3173,544,14094,0.69
19.03,-1664,-2111,-1997,-8,-3,-56,0.02,-0.12,3180,824,3201,540,1279,1086,673,3173,540,13956,0.72
20.03,-1664,-2146,-1897,5,7,-77,-0.07,-0.02,350,1398,442,3189,433,775,857,3174,350,10618,1.12
21.02,-1664,-1990,-2156,0,0,-50,-0.04,-0.05,1269,2471,1041,3194,725,535,3164,3171,535,15570,0.63
22.02,-1664,-2142,-2192,-6,10,-66,-0.05,-0.16,2686,1917,339,1375,1510,2300,763,3179,339,14069,0.73
23.03,-1664,-2064,-2202,-10,12,-35,-0.05,-0.12,3109,2494,651,934,1547,3046,573,3175,573,15529,0.64
24.02,-1664,-2112,-2133,-14,0,-56,-0.05,-0.2,3172,2248,2468,477,1775,2857,464,3174,464,16635,0.66
25.02,-1664,-2053,-2060,-13,-3,-59,-0.04,-0.19,3181,1680,3203,648,1776,2505,411,3170,411,16574,0.65
26.03,-1664,-2068,-1989,-19,-4,-57,-0.01,-0.21,3174,1088,3206,954,1766,2925,419,3173,419,16705,0.62
27.04,-1663,-2164,-1881,-17,2,-58,-0.03,-0.17,3182,1236,3206,550,2187,3146,689,3175,550,17371,0.58
28.02,-1664,-2144,-1893,-15,1,-54,-0.03,-0.16,3184,1081,3206,480,2824,3150,1210,3171,480,18306,0.54
29.03,-1664,-2102,-1539,-15,15,-58,-0.05,-0.07,693,472,3201,710,2881,3115,3137,3172,472,17381,0.66
30.02,-1664,-2103,-1809,-5,4,-61,-0.02,-0.04,485,453,1840,3010,3114,2713,2419,3172,453,17206,0.66
31.02,-1664,-2142,-1749,4,11,-50,-0.04,0.01,261,568,1136,3185,3140,2168,2282,3176,261,15916,0.83
32.02,-1664,-2123,-1973,5,11,-61,-0.07,0.08,218,373,1810,3190,2410,2785,3137,3177,218,17100,0.95
33.03,-1664,-2052,-1979,12,2,-57,-0.02,0.07,310,328,3208,3190,614,2224,2023,3176,310,15073,0.98
34.03,-1664,-2090,-1991,-5,2,-58,-0.03,-0.05,774,611,2437,1125,1250,2574,738,3176,611,12685,0.71
35.02,-1664,-2113,-1983,-5,-1,-58,0.02,-0.09,1113,670,3180,661,1381,1387,625,3173,625,12190,0.76
36.02,-1664,-2112,-1998,-2,-2,-57,0.02,-0.05,697,641,3185,864,1273,1135,768,3178,641,11741,0.77
"Cech-fw",-1663.97,-2108.32,-1983.11,-3.59,0.97,-57.24,0,-0.05,1345.95,1027.84,2538.92,2256.84,1590.81,1512.43,1751.95,3042.05,,18306,
