,"GyrRef","GyrX","GyrY","AccX","AccY","AccZ","AngleX","AngleY","Lfoot/FSR/FrontLeft","Lfoot/FSR/FrontRight","Lfoot/FSR/RearLeft","Lfoot/FSR/RearRight","Rfoot/FSR/FrontLeft","Rfoot/FSR/FrontRight","Rfoot/FSR/RearLeft","Rfoot/FSR/RearRight",,
0.03,-1664,-2114,-1994,-3,-1,-59,0.02,-0.05,1129,588,3290,2485,1104,942,1157,3266,13961,0.64
1.03,-1663,-2114,-1992,-3,-1,-58,0.01,-0.05,1127,589,3290,2492,1105,941,1155,3264,13963,0.64
2.03,-1664,-2114,-1992,-3,-1,-58,0.02,-0.05,1133,589,3307,2494,1110,940,1154,3266,13993,0.64
3.04,-1664,-2115,-1993,-3,-2,-58,0.02,-0.05,1133,589,3317,2490,1108,938,1150,3262,13987,0.64
4.02,-1664,-2114,-1992,-3,-1,-57,0.02,-0.05,1128,588,3290,2495,1106,941,1153,3259,13960,0.64
5.04,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1128,587,3289,2492,1106,940,1152,3256,13950,0.64
6.02,-1664,-2115,-1994,-3,-1,-57,0.01,-0.05,1127,587,3292,2462,1100,938,1148,3222,13876,0.65
7.03,-1664,-2114,-1993,-4,-2,-57,0.01,-0.05,1128,587,3227,2459,1103,938,1146,3240,13828,0.65
8.02,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1125,585,3234,2440,1100,933,1148,3248,13813,0.65
9.03,-1664,-2114,-1992,-3,-1,-59,0.02,-0.05,1127,586,3257,2480,1105,938,1149,3258,13900,0.65
10.04,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1126,586,3287,2482,1105,939,1151,3268,13944,0.64
11.02,-1663,-2114,-1993,-3,-1,-57,0.01,-0.05,1134,587,3288,2481,1109,939,1151,3274,13963,0.64
12.02,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1129,586,3285,2493,1106,937,1148,3261,13945,0.64
13.02,-1664,-2114,-1992,-3,-1,-56,0.02,-0.05,1129,585,3289,2480,1103,938,1145,3220,13889,0.65
14.03,-1664,-2115,-1992,-4,-1,-58,0.02,-0.05,1122,582,3222,2462,1103,936,1148,3257,13832,0.65
15.02,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1130,586,3286,2486,1105,938,1152,3266,13949,0.64
16.03,-1664,-2113,-1993,-3,-1,-57,0.02,-0.05,1134,587,3313,2479,1108,935,1151,3260,13967,0.64
17.04,-1664,-2114,-1994,-3,-1,-59,0.02,-0.05,1129,586,3289,2480,1106,937,1147,3260,13934,0.64
18.02,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1128,585,3220,2451,1098,936,1145,3216,13779,0.65
19.04,-1664,-2113,-1993,-3,-1,-59,0.02,-0.05,1123,584,3289,2475,1105,937,1149,3257,13919,0.65
20.02,-1664,-2114,-1993,-4,-1,-57,0.01,-0.05,1129,587,3285,2499,1106,939,1153,3268,13966,0.64
21.03,-1664,-2115,-1993,-3,-1,-57,0.02,-0.05,1128,585,3302,2485,1106,937,1150,3256,13949,0.64
22.02,-1664,-2114,-1992,-3,-1,-58,0.02,-0.05,1120,582,3234,2477,1100,934,1149,3242,13838,0.65
23.03,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1128,582,3280,2466,1105,937,1151,3260,13909,0.65
24.04,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1128,584,3318,2501,1107,939,1154,3263,13994,0.64
25.03,-1664,-2114,-1992,-3,-1,-57,0.02,-0.05,1129,585,3305,2496,1105,939,1150,3259,13968,0.64
26.03,-1664,-2114,-1992,-3,-1,-59,0.02,-0.05,1121,583,3287,2473,1101,935,1146,3226,13872,0.65
27.02,-1664,-2114,-1993,-4,-1,-58,0.01,-0.05,1125,583,3265,2468,1097,935,1151,3258,13882,0.65
28.04,-1664,-2113,-1994,-3,-1,-57,0.02,-0.05,1127,585,3316,2491,1107,937,1151,3269,13983,0.64
29.03,-1664,-2114,-1992,-3,0,-59,0.02,-0.05,1130,585,3313,2485,1103,936,1148,3257,13957,0.65
30.03,-1664,-2114,-1992,-3,-1,-56,0.01,-0.05,1125,584,3285,2479,1098,934,1145,3256,13906,0.65
31.03,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1124,585,3274,2462,1103,936,1149,3252,13885,0.65
32.03,-1664,-2115,-1993,-3,-1,-58,0.02,-0.05,1132,584,3315,2479,1104,936,1150,3267,13967,0.65
33.04,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1126,585,3289,2481,1100,935,1147,3258,13921,0.65
34.03,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1120,583,3286,2477,1096,931,1146,3239,13878,0.65
35.04,-1664,-2113,-1993,-3,-1,-56,0.02,-0.05,1125,583,3276,2461,1105,936,1149,3261,13896,0.65
36.02,-1664,-2113,-1993,-3,-1,-58,0.01,-0.05,1132,585,3316,2493,1107,935,1152,3267,13987,0.64
37.03,-1664,-2114,-1994,-3,-1,-57,0.02,-0.05,1128,585,3288,2470,1104,936,1146,3256,13913,0.65
38.02,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1123,584,3240,2466,1103,931,1145,3239,13831,0.65
39.02,-1664,-2114,-1993,-3,-2,-56,0.02,-0.05,1120,585,3282,2459,1107,934,1147,3261,13895,0.65
40.02,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1127,585,3316,2488,1106,934,1147,3267,13970,0.65
41.04,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1126,584,3291,2463,1102,934,1138,3222,13860,0.65
42.03,-1664,-2114,-1993,-3,0,-57,0.01,-0.05,1119,582,3271,2455,1103,935,1147,3256,13868,0.65
43.03,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1124,585,3315,2487,1108,937,1148,3264,13968,0.65
44.03,-1664,-2114,-1993,-4,-1,-57,0.02,-0.05,1125,585,3300,2482,1105,936,1147,3256,13936,0.65
45.03,-1664,-2114,-1994,-3,-2,-57,0.01,-0.05,1117,585,3273,2461,1103,932,1143,3226,13840,0.65
46.03,-1664,-2115,-1994,-4,-1,-57,0.02,-0.05,1126,584,3283,2460,1105,937,1149,3258,13902,0.65
47.02,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1124,585,3317,2484,1101,936,1147,3268,13962,0.65
48.04,-1663,-2114,-1993,-3,-1,-58,0.02,-0.05,1126,584,3285,2462,1102,935,1145,3256,13895,0.65
49.03,-1664,-2114,-1992,-3,-2,-58,0.01,-0.05,1117,583,3224,2457,1100,930,1146,3252,13809,0.65
50.03,-1664,-2114,-1993,-3,-1,-56,0.02,-0.05,1126,584,3290,2461,1103,936,1149,3265,13914,0.65
51.04,-1664,-2114,-1994,-3,-1,-56,0.02,-0.05,1125,586,3293,2471,1103,936,1147,3255,13916,0.65
52.03,-1664,-2114,-1994,-3,-1,-56,0.02,-0.05,1126,585,3289,2454,1100,934,1142,3256,13886,0.65
53.05,-1664,-2114,-1993,-3,-2,-57,0.02,-0.05,1121,586,3286,2449,1101,934,1146,3255,13878,0.65
54.02,-1664,-2114,-1993,-3,-1,-56,0.01,-0.05,1130,586,3292,2455,1105,934,1148,3267,13917,0.65
55.04,-1664,-2114,-1993,-3,-2,-56,0.01,-0.05,1128,585,3296,2459,1101,933,1145,3255,13902,0.65
56.02,-1664,-2113,-1993,-3,-1,-57,0.02,-0.05,1126,584,3226,2424,1093,932,1139,3250,13774,0.65
57.04,-1664,-2114,-1994,-3,-2,-58,0.02,-0.05,1124,584,3288,2459,1100,932,1150,3260,13897,0.65
58.01,-1664,-2113,-1993,-3,-1,-58,0.01,-0.05,1131,586,3314,2454,1101,930,1149,3256,13921,0.65
59.04,-1664,-2115,-1993,-3,-1,-57,0.02,-0.05,1126,585,3291,2460,1099,927,1147,3253,13888,0.65
60.03,-1664,-2114,-1994,-3,-1,-57,0.02,-0.05,1119,583,3240,2417,1100,930,1147,3236,13772,0.65
61.02,-1664,-2114,-1994,-3,-2,-57,0.02,-0.05,1125,584,3292,2465,1100,933,1149,3261,13909,0.65
62.02,-1664,-2114,-1994,-3,-1,-57,0.02,-0.05,1131,584,3284,2464,1100,932,1145,3261,13901,0.65
63.03,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1126,583,3287,2438,1100,929,1140,3217,13820,0.65
64.02,-1664,-2114,-1993,-3,-2,-56,0.02,-0.05,1122,584,3258,2428,1095,932,1145,3257,13821,0.65
65.02,-1664,-2113,-1993,-3,-1,-59,0.02,-0.05,1132,584,3291,2458,1102,933,1148,3258,13906,0.65
66.03,-1664,-2114,-1994,-3,-1,-58,0.02,-0.05,1126,583,3290,2455,1099,932,1145,3250,13880,0.65
67.02,-1663,-2114,-1994,-3,-1,-56,0.02,-0.05,1123,584,3226,2417,1098,932,1141,3207,13728,0.65
68.03,-1664,-2114,-1993,-3,-1,-57,0.02,-0.05,1125,583,3267,2455,1100,931,1146,3259,13866,0.65
69.02,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1132,585,3314,2472,1104,933,1144,3259,13943,0.65
70.02,-1664,-2114,-1994,-3,-1,-56,0.02,-0.05,1124,584,3286,2452,1100,930,1145,3253,13874,0.65
71.02,-1664,-2114,-1993,-3,-1,-57,0.01,-0.05,1125,580,3266,2427,1097,930,1144,3255,13824,0.65
72.05,-1664,-2114,-1993,-3,-1,-58,0.01,-0.05,1124,584,3314,2454,1100,935,1144,3266,13921,0.65
73.03,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1124,585,3311,2478,1101,932,1146,3254,13931,0.65
74.04,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1115,583,3284,2453,1099,932,1141,3221,13828,0.65
75.02,-1664,-2114,-1994,-3,-1,-57,0.02,-0.05,1125,584,3287,2453,1103,931,1146,3256,13885,0.65
76.02,-1664,-2113,-1993,-3,0,-58,0.02,-0.05,1126,585,3313,2477,1099,934,1142,3265,13941,0.65
77.02,-1664,-2114,-1993,-3,-1,-58,0.02,-0.05,1125,584,3290,2453,1102,931,1140,3254,13879,0.65
78.02,-1664,-2113,-1993,-3,-1,-58,0.02,-0.05,1118,582,3227,2434,1099,929,1140,3249,13778,0.65
"Cech-sit",-1663.95,-2113.96,-1993.06,-3.08,-1.09,-57.35,0.02,-0.05,1125.95,584.73,3283.34,2467.35,1102.51,934.78,1147.28,3253.53,13994,
