,"GyrRef","GyrX","GyrY","AccX","AccY","AccZ","AngleX","AngleY","Lfoot/FSR/FrontLeft","Lfoot/FSR/FrontRight","Lfoot/FSR/RearLeft","Lfoot/FSR/RearRight","Rfoot/FSR/FrontLeft","Rfoot/FSR/FrontRight","Rfoot/FSR/RearLeft","Rfoot/FSR/RearRight",,
0.02,-1664,-2110,-1989,-1,0,-56,0.01,-0.01,892,531,3202,1641,1112,1025,911,2188,11502,0.74
1.02,-1663,-2116,-1992,0,0,-58,0.03,0.01,961,756,672,2422,1167,766,1615,1586,9945,0.77
2.02,-1664,-2116,-1979,6,0,-55,0.03,0.07,950,1060,507,2504,1243,588,3163,1567,11582,0.78
3.02,-1664,-2115,-2000,6,-1,-55,0.02,0.12,1028,1127,522,2368,1346,547,3163,1015,11116,0.81
4.02,-1664,-2118,-1960,3,-1,-57,0.02,0.01,1447,978,3189,528,902,1139,854,3175,12212,0.74
5.02,-1663,-2115,-1994,3,-1,-58,0.02,0.04,2047,828,3205,497,1004,1137,844,3173,12735,0.74
6.02,-1664,-2114,-1995,3,-2,-58,0.02,0.04,2071,822,3204,493,999,1133,850,3176,12748,0.74
7.02,-1664,-2109,-1981,2,-2,-57,0.03,0.04,2287,595,3205,1013,976,1492,1128,3174,13870,0.63
8.03,-1664,-2084,-2007,4,-3,-57,0.04,0.06,466,382,3216,3193,2519,3007,3168,3175,19126,0.67
9.02,-1664,-2114,-1956,3,-5,-56,0.05,0.04,595,406,3209,806,1859,3165,3167,3179,16386,0.72
10.02,-1664,-2092,-2020,0,0,-57,0.02,0,626,646,1046,1411,2037,1150,2007,1376,10299,0.74
11.02,-1664,-2116,-2025,0,2,-54,0,0.03,3163,1815,3213,3194,530,815,465,3174,16369,0.71
12.02,-1664,-2112,-1953,-4,-2,-57,0.04,-0.06,2855,2263,3212,3196,706,522,853,3178,16785,0.62
13.02,-1664,-2133,-1996,-1,-4,-56,0.04,0,3156,1949,1266,1024,1111,596,490,3020,12612,0.75
14.02,-1664,-2080,-2022,8,-2,-55,0.02,0.13,641,227,3206,1621,2798,2936,3165,3179,17773,0.82
15.02,-1664,-2120,-2007,0,-2,-57,0.03,0.03,1002,302,3208,1324,1837,3161,3160,3173,17167,0.69
16.02,-1664,-2094,-2011,-2,2,-57,0.01,0,862,530,864,1644,2640,1543,1426,2285,11794,0.7
17.02,-1664,-2117,-2034,3,3,-56,-0.02,0.01,3175,1920,3213,3196,403,689,526,3180,16302,0.76
18.02,-1664,-2114,-2023,5,-1,-57,0.03,0.1,2876,2121,3209,3191,476,477,1004,3177,16531,0.7
19.02,-1664,-2112,-1972,0,0,-59,0.02,0.09,1440,1136,1418,1558,1496,1210,350,3180,11788,0.76
20.02,-1664,-2099,-2027,8,-3,-56,0.03,0.12,618,237,3211,994,2826,2953,3166,3177,17182,0.85
21.03,-1664,-2110,-2015,3,-2,-55,0.02,0.03,827,323,3207,1065,1876,3068,3166,3178,16710,0.7
22.02,-1664,-2096,-2013,-3,0,-58,0.01,0,916,743,884,1692,2546,1310,1801,1200,11092,0.67
23.02,-1664,-2122,-2035,3,3,-56,0,0.02,3186,1968,3214,3192,373,694,523,3174,16324,0.78
24.02,-1664,-2109,-2014,5,-1,-58,0.04,0.07,2929,2012,3213,3193,465,512,1167,3177,16668,0.67
25.03,-1664,-2109,-1973,0,0,-56,0.02,0.04,1303,1204,1507,1483,1652,1123,343,3156,11771,0.77
26.04,-1664,-2103,-2025,8,-5,-54,0.01,0.1,585,245,3206,763,2848,2947,3168,3175,16937,0.87
27.02,-1664,-2111,-2010,0,-2,-58,0.02,0.04,960,388,3204,870,1902,3141,3168,3178,16811,0.66
28.02,-1664,-2101,-2007,-3,0,-57,0,-0.01,828,852,986,1002,2805,1869,2001,854,11197,0.7
29.03,-1664,-2123,-2034,3,1,-56,0.01,0.04,3167,2008,3210,3190,351,723,571,3175,16395,0.77
30.02,-1664,-2113,-2003,4,-1,-57,0.03,0.07,2929,2000,3212,3193,436,610,887,3177,16444,0.68
31.02,-1664,-2114,-1978,0,0,-57,0.02,0.05,1409,1248,1372,1459,1429,1088,409,2161,10575,0.75
32.02,-1664,-2102,-2017,8,-4,-57,0.03,0.11,603,240,3211,775,2588,2920,3169,3177,16683,0.88
33.03,-1664,-2111,-2021,0,-1,-60,0.02,0.02,915,379,3206,913,1955,3163,3165,3182,16878,0.66
34.02,-1664,-2101,-2009,-3,0,-59,-0.01,-0.02,813,882,1000,1023,3104,1768,2172,932,11694,0.68
35.02,-1664,-2127,-2040,3,3,-56,-0.03,0.01,3149,2001,3210,3190,385,835,485,3175,16430,0.76
36.02,-1664,-2117,-2012,5,0,-57,0.01,0.11,3000,2247,3211,3185,445,604,741,3176,16609,0.7
37.02,-1664,-2127,-1986,0,-3,-60,0.01,0.05,1261,1264,1432,1478,1465,1128,470,1594,10092,0.73
38.02,-1664,-2101,-2011,7,-4,-58,0.04,0.14,711,236,3204,685,2517,2921,3167,3176,16617,0.88
39.03,-1664,-2110,-2004,0,-1,-57,0.03,0.04,928,391,3206,1060,1926,3163,3167,3176,17017,0.64
40.02,-1664,-2103,-2014,-2,1,-57,0.01,0.01,744,706,988,1186,3135,1650,2339,1096,11844,0.69
41.02,-1664,-2124,-2033,2,3,-56,-0.01,-0.01,3169,2054,3211,3185,454,868,423,3173,16537,0.75
42.03,-1664,-2106,-1956,2,0,-58,0.02,-0.03,3025,2298,3213,3191,474,465,955,3177,16798,0.7
43.02,-1664,-2119,-1998,2,0,-53,0,0.02,1297,1355,1054,1329,1103,826,576,3172,10712,0.74
