,"GyrRef","GyrX","GyrY","AccX","AccY","AccZ","AngleX","AngleY","Lfoot/FSR/FrontLeft","Lfoot/FSR/FrontRight","Lfoot/FSR/RearLeft","Lfoot/FSR/RearRight","Rfoot/FSR/FrontLeft","Rfoot/FSR/FrontRight","Rfoot/FSR/RearLeft","Rfoot/FSR/RearRight",,
0.04,-1673,-2340,-2082,7,1,-60,0,0.11,892,2858,564,969,3164,769,2764,443,443,0.85
1.04,-1674,-2340,-2083,7,1,-60,0,0.11,850,2988,545,985,3171,833,2756,471,471,0.84
2.04,-1674,-2340,-2083,6,0,-59,0,0.11,873,2745,576,980,3169,762,2816,461,461,0.84
3.04,-1674,-2339,-2083,7,1,-60,-0.01,0.11,878,2710,577,975,3169,761,2750,457,457,0.84
4.02,-1674,-2337,-2085,5,2,-62,0,0.11,1301,1550,597,1119,3171,983,2642,461,461,0.79
5.05,-1674,-2339,-2082,4,0,-60,0,0.08,3128,460,895,930,1666,2839,979,510,460,0.86
6.04,-1674,-2340,-2083,5,0,-60,-0.01,0.07,3126,461,1013,893,1403,3171,885,515,461,0.87
7.24,-1674,-2338,-2085,5,-1,-60,0.01,0.08,3130,536,1574,769,1257,3171,655,599,536,0.84
8.03,-1674,-2294,-2084,8,-2,-58,-0.01,0.1,3132,3136,471,362,3170,3176,1658,1922,362,0.73
9.04,-1673,-2340,-2056,7,-3,-59,0.05,0.09,3128,1231,391,325,3172,3169,2120,821,325,0.91
10.02,-1674,-2341,-2068,1,-3,-60,0,0.01,3142,734,2977,942,3170,3177,751,339,339,0.8
11.02,-1674,-2318,-2062,1,3,-60,-0.06,0.03,3141,3107,2845,2763,881,3175,390,380,380,0.8
12.02,-1673,-2320,-2115,1,-2,-61,-0.01,0.05,3142,1361,2944,1175,3171,3177,2185,582,582,0.5
13.05,-1674,-2348,-2070,5,8,-60,-0.06,0.06,3082,3137,283,887,3170,3174,2133,2071,283,0.69
14.05,-1674,-2327,-2086,6,2,-58,-0.02,0.08,3131,3137,530,395,3173,3177,2676,1511,395,0.67
15.02,-1674,-2326,-2082,4,1,-59,-0.01,0.04,1532,1151,607,619,2385,2238,1876,483,483,0.83
16.02,-1673,-2351,-2077,3,8,-59,-0.1,0.03,3133,2971,2971,2802,401,3168,237,605,237,1
17.02,-1674,-2298,-2134,7,0,-58,-0.04,0.05,3142,3138,1051,2257,3171,3180,1195,374,374,0.62
18.04,-1674,-2364,-2093,4,2,-60,-0.04,0.04,845,3135,328,671,3169,2838,2040,949,328,0.83
19.04,-1674,-2341,-2104,5,0,-61,-0.01,0.08,3127,1050,486,329,3168,3180,2721,2614,329,0.77
20.04,-1673,-2321,-2073,3,7,-62,-0.05,0.02,767,3143,417,675,1878,3172,918,968,417,0.85
21.04,-1674,-2377,-2111,5,6,-60,-0.09,0.01,3138,3114,3049,2704,557,3171,277,517,277,0.9
22.04,-1673,-2330,-2055,7,6,-58,-0.07,0.04,3129,3139,1025,2552,1364,3173,329,395,329,0.86
23.02,-1674,-2348,-2097,7,5,-60,-0.02,0.04,752,3137,263,810,3170,3160,1688,873,263,0.91
24.02,-1674,-2335,-2079,8,1,-57,-0.01,0.07,3139,2536,433,344,3123,3176,3170,2399,344,0.73
25.02,-1673,-2312,-2075,2,7,-61,-0.04,0.05,449,3134,458,694,2973,3173,1678,1463,449,0.81
26.02,-1673,-2372,-2089,6,-2,-63,-0.02,0.04,3131,3136,2926,2488,3175,3174,433,338,338,0.73
27.02,-1674,-2339,-2069,3,4,-58,-0.04,0.04,3131,3141,2524,2038,1033,3172,314,437,314,0.83
28.02,-1674,-2398,-2050,10,4,-59,0.02,0.06,2664,2289,390,681,3172,2277,1201,599,390,0.81
29.03,-1673,-2351,-2075,2,1,-62,-0.01,0.04,3129,1689,519,445,3163,3180,3158,2634,445,0.64
30.02,-1673,-2363,-2121,7,4,-62,-0.05,0.06,3132,3143,406,846,3162,3173,1449,955,406,0.67
31.02,-1674,-2337,-2083,10,-3,-57,-0.03,0.04,3132,3137,3153,1265,3167,3177,803,212,212,0.83
32.02,-1674,-2327,-2101,3,0,-60,-0.08,0.01,3130,3141,3143,2409,3163,3173,578,335,335,0.67
33.02,-1674,-2347,-2047,-2,-8,-59,0,-0.02,3137,921,3136,1155,3160,311,1136,362,311,0.98
34.02,-1674,-2336,-2081,3,2,-58,-0.06,0.04,3141,3138,486,274,3068,3176,3169,3165,274,0.76
35.02,-1673,-2368,-2084,10,-1,-55,-0.05,0.09,3140,3140,561,364,3172,3177,2561,714,364,0.76
36.02,-1674,-2336,-2040,7,-2,-59,-0.02,0.03,3130,1975,3150,862,3171,3172,434,235,235,0.95
37.04,-1674,-2339,-2082,3,0,-62,-0.07,0.02,2910,3137,3104,2557,1798,3173,465,381,381,0.7
38.04,-1673,-2322,-2085,0,-2,-60,0.03,0,3130,575,3142,1258,3169,296,990,402,296,1.04
39.02,-1674,-2318,-2074,7,1,-58,-0.02,0.03,3138,1600,578,288,3164,3171,3175,2804,288,0.74
40.02,-1673,-2340,-2073,6,0,-59,-0.01,0.08,3142,1119,506,308,3172,3177,2857,1549,308,0.81
41.04,-1673,-2353,-2046,-3,1,-57,0,-0.04,3115,496,1801,1286,3176,3180,1060,423,423,0.76
42.04,-1674,-2331,-2085,4,2,-59,-0.08,0.01,3131,3020,2369,2646,968,3174,448,366,366,0.78
43.04,-1674,-2336,-2084,0,-2,-59,-0.01,0,3139,1143,2535,1195,3173,3179,2068,598,598,0.52
44.04,-1674,-2348,-2070,7,6,-58,-0.05,0.02,2942,3134,310,785,3172,3175,2822,3101,310,0.65
45.04,-1674,-2342,-2080,5,1,-60,-0.04,0.04,3132,3139,614,319,3171,3176,2849,1698,319,0.7
46.03,-1674,-2295,-2147,10,-5,-60,-0.04,0.02,2593,1393,773,711,3168,716,1867,317,317,0.92
47.04,-1673,-2363,-2081,-1,8,-58,-0.16,-0.05,3130,3105,2899,2739,280,3174,323,732,280,0.97
48.03,-1673,-2267,-2228,-17,-3,-50,-0.24,-0.27,1061,3145,2064,3138,396,3176,1392,2420,396,0.6
49.03,-1674,-2340,-2131,9,2,-56,0,0.08,3137,3146,416,429,3165,1536,2097,606,416,0.85
50.03,-1674,-2337,-2064,4,1,-60,-0.01,0.06,3127,1111,529,380,3162,3170,3048,2227,380,0.72
51.04,-1674,-2337,-2098,6,1,-60,-0.01,0.1,3129,3144,551,522,3151,3178,1147,972,522,0.69
52.04,-1673,-2332,-2091,4,0,-61,0,0.08,1302,2085,582,503,1591,3174,1014,779,503,0.82
53.04,-1673,-2340,-2083,4,-1,-60,0.01,0.05,1633,495,1216,1062,1982,3173,989,459,459,0.84
