1 - ( 0.0 , 0.25 , 0.0 ) - [ 12.4834370613 , 11.6956279278 , 6.56457018852 ]
2 - ( 0.0 , 0.25 , 45.0 ) - [ 9.94120311737 , 10.2620840073 , 8.51973700523 ]
3 - ( 0.0 , 0.25 , 90.0 ) - [ 8.03230118752 , 9.30172896385 , 9.44460010529 ]
4 - ( 0.0 , 0.25 , 135.0 ) - [ 9.46345305443 , 8.33388400078 , 10.4125640392 ]
5 - ( 0.0 , 0.25 , 180.0 ) - [ 10.4390981197 , 6.88197207451 , 10.8820199966 ]
6 - ( 0.0 , 0.25 , 225.0 ) - [ 11.3819301128 , 8.80489206314 , 9.93611311913 ]
7 - ( 0.0 , 0.25 , 270.0 ) - [ 12.8269231319 , 9.76297092438 , 8.96251487732 ]
8 - ( 0.0 , 0.25 , 315.0 ) - [ 11.8654198647 , 10.7417809963 , 8.00292491913 ]
9 - ( 0.0 , 0.5 , 0.0 ) - [ 12.8273990154 , 15.5398550034 , 10.4095680714 ]
10 - ( 0.0 , 0.5 , 45.0 ) - [ 11.87824893 , 14.0823428631 , 12.339099884 ]
11 - ( 0.0 , 0.5 , 90.0 ) - [ 10.4252810478 , 13.1277461052 , 13.3026480675 ]
12 - ( 0.0 , 0.5 , 135.0 ) - [ 12.3667891026 , 12.1627089977 , 14.2449018955 ]
13 - ( 0.0 , 0.5 , 180.0 ) - [ 13.3211629391 , 10.7235488892 , 14.7396800518 ]
14 - ( 0.0 , 0.5 , 225.0 ) - [ 14.2694299221 , 12.6525290012 , 13.7617328167 ]
15 - ( 0.0 , 0.5 , 270.0 ) - [ 14.7430078983 , 13.6111989021 , 12.8107748032 ]
16 - ( 0.0 , 0.5 , 315.0 ) - [ 13.782831192 , 14.5685808659 , 11.8447868824 ]
17 - ( 0.0 , 0.75 , 0.0 ) - [ 15.7030849457 , 19.3686130047 , 14.2441711426 ]
18 - ( 0.0 , 0.75 , 45.0 ) - [ 14.7421460152 , 17.9257359505 , 16.1838269234 ]
19 - ( 0.0 , 0.75 , 90.0 ) - [ 12.8227219582 , 16.9622530937 , 17.1458530426 ]
20 - ( 0.0 , 0.75 , 135.0 ) - [ 14.2806360722 , 16.0032141209 , 18.082805872 ]
21 - ( 0.0 , 0.75 , 180.0 ) - [ 15.2444498539 , 14.5783679485 , 18.5668530464 ]
22 - ( 0.0 , 0.75 , 225.0 ) - [ 16.1908569336 , 16.4853870869 , 17.6042129993 ]
23 - ( 0.0 , 0.75 , 270.0 ) - [ 17.6217699051 , 17.4423971176 , 16.6423990726 ]
24 - ( 0.0 , 0.75 , 315.0 ) - [ 16.6634290218 , 18.409307003 , 15.6825430393 ]
25 - ( 0.0 , 1.0 , 0.0 ) - [ 17.6213109493 , 23.2019309998 , 18.0835318565 ]
26 - ( 0.0 , 1.0 , 45.0 ) - [ 16.6725258827 , 21.775149107 , 20.0218548775 ]
27 - ( 0.0 , 1.0 , 90.0 ) - [ 15.2210609913 , 20.816986084 , 20.9836938381 ]
28 - ( 0.0 , 1.0 , 135.0 ) - [ 17.1622741222 , 19.8610301018 , 21.9291138649 ]
29 - ( 0.0 , 1.0 , 180.0 ) - [ 18.1405770779 , 18.4057331085 , 22.4092538357 ]
30 - ( 0.0 , 1.0 , 225.0 ) - [ 19.0783700943 , 20.3231668472 , 21.4414298534 ]
31 - ( 0.0 , 1.0 , 270.0 ) - [ 19.5433368683 , 21.2838928699 , 20.4932639599 ]
32 - ( 0.0 , 1.0 , 315.0 ) - [ 18.582597971 , 22.246516943 , 19.5374369621 ]
33 - ( 0.25 , 0.25 , 0.0 ) - [ 13.7899580002 , 15.7072939873 , 11.3822109699 ]
34 - ( 0.25 , 0.25 , 45.0 ) - [ 12.8207621574 , 14.264040947 , 9.96477103233 ]
35 - ( 0.25 , 0.25 , 90.0 ) - [ 11.8663580418 , 13.3186779022 , 11.8640220165 ]
36 - ( 0.25 , 0.25 , 135.0 ) - [ 10.4230940342 , 12.3613710403 , 12.823857069 ]
37 - ( 0.25 , 0.25 , 180.0 ) - [ 12.3409490585 , 10.9081540108 , 13.7829139233 ]
38 - ( 0.25 , 0.25 , 225.0 ) - [ 13.3046970367 , 12.8277430534 , 14.2803359032 ]
39 - ( 0.25 , 0.25 , 270.0 ) - [ 14.261370182 , 13.7848658562 , 13.3029720783 ]
40 - ( 0.25 , 0.25 , 315.0 ) - [ 14.744451046 , 14.7414338589 , 12.3500068188 ]
41 - ( 0.25 , 0.5 , 0.0 ) - [ 15.7056758404 , 15.2242479324 , 15.2228970528 ]
42 - ( 0.25 , 0.5 , 45.0 ) - [ 14.7419650555 , 14.2673840523 , 14.7577691078 ]
43 - ( 0.25 , 0.5 , 90.0 ) - [ 13.78034091 , 13.3016688824 , 15.7096350193 ]
44 - ( 0.25 , 0.5 , 135.0 ) - [ 13.3217389584 , 12.3511910439 , 16.6626749039 ]
45 - ( 0.25 , 0.5 , 180.0 ) - [ 14.2846031189 , 13.8017480373 , 17.6231088638 ]
46 - ( 0.25 , 0.5 , 225.0 ) - [ 15.2270710468 , 14.7454020977 , 18.1040568352 ]
47 - ( 0.25 , 0.5 , 270.0 ) - [ 16.1881630421 , 15.7090411186 , 17.1426999569 ]
48 - ( 0.25 , 0.5 , 315.0 ) - [ 16.6644408703 , 16.6630959511 , 16.2005059719 ]
49 - ( 0.25 , 0.75 , 0.0 ) - [ 15.7033410072 , 17.1508419514 , 17.1442320347 ]
50 - ( 0.25 , 0.75 , 45.0 ) - [ 14.7419950962 , 16.1849598885 , 18.5838770866 ]
51 - ( 0.25 , 0.75 , 90.0 ) - [ 13.7819230556 , 15.224312067 , 19.5443410873 ]
52 - ( 0.25 , 0.75 , 135.0 ) - [ 15.2236549854 , 14.7544059753 , 20.5039129257 ]
